epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.856241,1.4137,4.85416,1.22313,0,0,0,0,1.16364,4.40973,1.01367,5e-06,5e-06,5e-06
2,1.27801,1.4185,4.99035,1.23028,0,0,0,0,1.16197,4.40063,1.00832,1.4703e-05,1.4703e-05,1.4703e-05
3,1.70455,1.50362,4.94299,1.25589,0,0,0,0,1.12304,4.39152,0.99519,2.401e-05,2.401e-05,2.401e-05
4,2.12007,1.3789,4.66786,1.25026,0,0,0,0,1.06455,4.3721,0.97395,3.2921e-05,3.2921e-05,3.2921e-05
5,2.59195,1.19239,4.85639,1.13493,0,0,0,0,0.94083,4.33764,0.92797,4.1436e-05,4.1436e-05,4.1436e-05
6,3.04983,1.13277,4.7312,1.07972,0,0,0,0,0.85992,4.31137,0.89641,4.9555e-05,4.9555e-05,4.9555e-05
7,3.54757,0.9214,4.49374,0.98632,0,0,0,0,0.95824,4.29059,0.91125,5.7278e-05,5.7278e-05,5.7278e-05
8,4.06046,0.83805,4.34775,0.95851,0,0,0,0,0.99375,4.28614,0.90398,6.4605e-05,6.4605e-05,6.4605e-05
9,4.57901,0.83389,4.21334,0.95706,0,0,0,0,0.93871,4.28263,0.88217,7.1536e-05,7.1536e-05,7.1536e-05
10,5.04109,0.8601,4.29175,0.91968,0,0,0,0,0.85368,4.27494,0.86388,7.8071e-05,7.8071e-05,7.8071e-05
11,5.53321,0.83551,4.07652,0.92533,0,0,0,0,0.75959,4.26891,0.84414,8.421e-05,8.421e-05,8.421e-05
12,6.01032,0.9442,4.21031,0.93637,0,0,0,0,0.70616,4.25019,0.83136,8.9953e-05,8.9953e-05,8.9953e-05
13,6.46602,0.82126,4.0735,0.90883,0,0,0,0,0.69248,4.2261,0.82869,9.53e-05,9.53e-05,9.53e-05
14,6.96257,0.9336,4.02221,0.9938,0,0,0,0,0.6947,4.18793,0.82833,0.000100251,0.000100251,0.000100251
15,7.48413,0.79537,3.77674,0.90508,0,0,0,0,0.69113,4.14988,0.83214,0.000104806,0.000104806,0.000104806
16,7.96228,0.87492,3.70683,0.96297,0.05532,0.13636,0.07971,0.05394,0.68711,4.08058,0.83924,0.000108965,0.000108965,0.000108965
17,8.40278,0.84708,3.5122,0.92202,0.10215,0.2381,0.17153,0.12995,0.67257,4.02677,0.82668,0.000112728,0.000112728,0.000112728
18,8.90905,0.86654,3.35752,0.9081,0.06024,0.33929,0.20341,0.1556,0.68922,3.94245,0.83145,0.000116095,0.000116095,0.000116095
19,9.46622,0.87911,3.11875,0.90759,0.04588,0.37302,0.22213,0.17414,0.71555,3.83734,0.84961,0.000119066,0.000119066,0.000119066
20,9.90625,0.89003,3.2209,0.96718,0.0377,0.45635,0.23381,0.18398,0.72098,3.72794,0.85584,0.000121641,0.000121641,0.000121641
21,10.3365,0.87912,2.9021,0.92698,0.03683,0.57143,0.24848,0.19612,0.72138,3.61911,0.85673,0.00012382,0.00012382,0.00012382
22,10.7971,0.88221,2.91607,0.88614,0.03251,0.57143,0.2488,0.19721,0.72807,3.50975,0.85366,0.000125603,0.000125603,0.000125603
23,11.2602,0.76592,2.66861,0.91551,0.03031,0.57143,0.23871,0.18776,0.74192,3.41749,0.85209,0.00012699,0.00012699,0.00012699
24,11.7616,0.90419,2.94672,0.9262,0.02811,0.57143,0.21611,0.17043,0.74026,3.31867,0.8469,0.000127981,0.000127981,0.000127981
25,12.2028,0.92324,2.80637,0.92919,0.0267,0.57143,0.21978,0.17347,0.7374,3.23138,0.84456,0.000128576,0.000128576,0.000128576
26,12.6899,0.77475,2.53928,0.88296,0.02534,0.57143,0.22454,0.18327,0.72224,3.17044,0.84607,0.000128775,0.000128775,0.000128775
27,13.117,0.82955,2.60979,0.89311,0.02355,0.57143,0.23296,0.19376,0.69886,3.11573,0.85012,0.000128578,0.000128578,0.000128578
28,13.5573,0.81222,2.5986,0.92777,0.02355,0.57143,0.23296,0.19376,0.69886,3.11573,0.85012,0.000127985,0.000127985,0.000127985
29,13.9865,0.79551,2.37402,0.89659,0.02305,0.57143,0.24211,0.20068,0.67549,3.08377,0.85456,0.000126996,0.000126996,0.000126996
