epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.30458,3.75315,6.5595,2.7244,0,0,0,0,4.13676,5.70054,3.21806,8.1e-07,8.1e-07,8.1e-07
2,3.39654,4.0607,6.54694,2.83513,0,0,0,0,4.12112,5.69719,3.1813,2.40594e-06,2.40594e-06,2.40594e-06
3,4.44382,3.76826,6.65615,2.74478,0,0,0,0,4.10412,5.6996,3.14785,3.96981e-06,3.96981e-06,3.96981e-06
4,5.40443,3.76291,6.54974,3.05686,0,0,0,0,4.083,5.70147,3.10959,5.5016e-06,5.5016e-06,5.5016e-06
5,6.36854,3.87097,6.38837,2.6703,0,0,0,0,4.07731,5.6881,3.02539,7.00132e-06,7.00132e-06,7.00132e-06
6,7.27029,3.79559,6.71543,2.67097,0,0,0,0,4.05829,5.67135,2.93664,8.46895e-06,8.46895e-06,8.46895e-06
7,8.1951,3.88203,6.49776,2.52097,0,0,0,0,4.01962,5.67632,2.86271,9.90452e-06,9.90452e-06,9.90452e-06
8,9.13238,3.8206,6.48746,2.60719,0,0,0,0,3.90249,5.67914,2.71769,1.1308e-05,1.1308e-05,1.1308e-05
9,10.047,3.31165,6.53119,2.36469,0,0,0,0,3.85402,5.67778,2.64739,1.26794e-05,1.26794e-05,1.26794e-05
10,10.9257,3.55232,6.48786,2.27185,0,0,0,0,3.80449,5.67745,2.55374,1.40188e-05,1.40188e-05,1.40188e-05
11,11.8289,3.24124,6.45682,2.19952,0,0,0,0,3.74251,5.66751,2.46159,1.5326e-05,1.5326e-05,1.5326e-05
12,12.7245,3.49821,6.37492,2.1659,0,0,0,0,3.6813,5.65363,2.36472,1.66012e-05,1.66012e-05,1.66012e-05
13,13.6046,3.27339,6.37281,2.12436,0,0,0,0,3.61306,5.64614,2.25875,1.78443e-05,1.78443e-05,1.78443e-05
14,14.4974,3.37786,6.31657,2.02867,0,0,0,0,3.54335,5.63678,2.15929,1.90553e-05,1.90553e-05,1.90553e-05
15,15.4098,3.12749,6.33492,2.02755,0,0,0,0,3.46385,5.63063,2.07289,2.02343e-05,2.02343e-05,2.02343e-05
16,16.2956,3.29277,6.39227,1.9504,0,0,0,0,3.38882,5.63422,1.99425,2.13812e-05,2.13812e-05,2.13812e-05
17,17.2677,3.07394,6.35037,1.83085,0,0,0,0,3.29003,5.63789,1.93244,2.2496e-05,2.2496e-05,2.2496e-05
18,18.1794,3.07591,6.5244,1.81691,0,0,0,0,3.19614,5.64005,1.86471,2.35787e-05,2.35787e-05,2.35787e-05
19,19.0885,2.86165,6.33805,1.89265,0,0,0,0,3.07782,5.6453,1.78314,2.46293e-05,2.46293e-05,2.46293e-05
20,19.9833,2.676,6.28813,1.74931,0,0,0,0,2.96673,5.64974,1.71616,2.56479e-05,2.56479e-05,2.56479e-05
21,20.8628,2.78496,6.23614,1.67478,0,0,0,0,2.83632,5.65656,1.64497,2.66344e-05,2.66344e-05,2.66344e-05
22,21.7677,2.53367,6.20526,1.65901,0,0,0,0,2.66105,5.66346,1.57716,2.75888e-05,2.75888e-05,2.75888e-05
23,22.6775,2.35551,6.07948,1.51508,0,0,0,0,2.5112,5.66614,1.50048,2.85112e-05,2.85112e-05,2.85112e-05
24,23.5544,2.2178,6.05153,1.46958,0,0,0,0,2.36472,5.65831,1.42323,2.94015e-05,2.94015e-05,2.94015e-05
25,24.4435,2.10332,6.06806,1.44364,0,0,0,0,2.23354,5.6356,1.34166,3.02597e-05,3.02597e-05,3.02597e-05
26,25.2943,2.30069,6.04853,1.41724,0,0,0,0,2.07203,5.59986,1.26384,3.10858e-05,3.10858e-05,3.10858e-05
27,26.1919,2.5382,6.07587,1.38813,0,0,0,0,1.86624,5.56876,1.19286,3.18798e-05,3.18798e-05,3.18798e-05
28,27.0513,2.00387,5.83053,1.31884,0,0,0,0,1.86624,5.56876,1.19286,3.26418e-05,3.26418e-05,3.26418e-05
29,27.9268,2.039,5.88147,1.29909,0,0,0,0,1.70984,5.53737,1.13721,3.33717e-05,3.33717e-05,3.33717e-05
30,28.8533,1.96385,5.79777,1.27762,0,0,0,0,1.61308,5.5219,1.10252,3.40695e-05,3.40695e-05,3.40695e-05
31,29.7088,1.79326,5.63138,1.24629,0,0,0,0,1.61308,5.5219,1.10252,3.47352e-05,3.47352e-05,3.47352e-05
32,30.6326,1.74064,5.7968,1.1905,0,0,0,0,1.55452,5.50733,1.07793,3.53689e-05,3.53689e-05,3.53689e-05
33,31.5281,1.78798,5.78422,1.20946,0,0,0,0,1.48407,5.48619,1.05479,3.59705e-05,3.59705e-05,3.59705e-05
34,32.4593,1.81682,5.55265,1.16735,0,0,0,0,1.48407,5.48619,1.05479,3.654e-05,3.654e-05,3.654e-05
35,33.3945,1.71531,5.64311,1.20869,0,0,0,0,1.42051,5.46423,1.03224,3.70774e-05,3.70774e-05,3.70774e-05
36,34.2808,1.61635,5.53444,1.08877,0,0,0,0,1.35614,5.42473,1.00828,3.75828e-05,3.75828e-05,3.75828e-05
37,35.1745,1.9811,5.6031,1.15359,0,0,0,0,1.35614,5.42473,1.00828,3.80561e-05,3.80561e-05,3.80561e-05
38,36.0487,1.54356,5.35805,1.13099,0,0,0,0,1.27203,5.3814,0.98019,3.84973e-05,3.84973e-05,3.84973e-05
39,36.9364,1.67132,5.39196,1.11834,0,0,0,0,1.19077,5.32923,0.95425,3.89064e-05,3.89064e-05,3.89064e-05
40,37.8045,1.32321,5.08365,1.0262,0,0,0,0,1.19077,5.32923,0.95425,3.92835e-05,3.92835e-05,3.92835e-05
41,38.7246,1.50235,5.26202,1.0532,0,0,0,0,1.1146,5.27254,0.93793,3.96284e-05,3.96284e-05,3.96284e-05
42,39.6067,1.38122,5.27796,1.06537,0,0,0,0,1.07275,5.20036,0.92212,3.99413e-05,3.99413e-05,3.99413e-05
43,40.4781,1.41875,5.00743,1.03512,0,0,0,0,1.07275,5.20036,0.92212,4.02222e-05,4.02222e-05,4.02222e-05
44,41.41,1.43292,5.12171,1.01722,0.125,0.07143,0.09821,0.0763,1.04552,5.09756,0.90631,4.04709e-05,4.04709e-05,4.04709e-05
45,42.3325,1.35631,5.00336,1.03689,0.125,0.07143,0.09821,0.0763,1.04552,5.09756,0.90631,4.06876e-05,4.06876e-05,4.06876e-05
46,43.2738,1.40393,4.9587,0.97537,0.125,0.125,0.12437,0.09065,1.0644,4.97326,0.8943,4.08722e-05,4.08722e-05,4.08722e-05
47,44.169,1.40699,5.06041,1.01397,0.125,0.125,0.12437,0.09065,1.0644,4.97326,0.8943,4.10247e-05,4.10247e-05,4.10247e-05
48,45.1036,1.21698,4.94113,0.94778,0.05137,0.15278,0.12787,0.0845,1.057,4.80745,0.88612,4.11452e-05,4.11452e-05,4.11452e-05
49,45.9956,1.39078,4.8455,0.94957,0.05137,0.15278,0.12787,0.0845,1.057,4.80745,0.88612,4.12335e-05,4.12335e-05,4.12335e-05
50,46.9104,1.35188,4.82729,0.95096,0.03928,0.23611,0.13745,0.08653,1.04252,4.63685,0.88223,4.12898e-05,4.12898e-05,4.12898e-05
51,47.799,1.18627,4.71683,0.95462,0.03928,0.23611,0.13745,0.08653,1.04252,4.63685,0.88223,4.0905e-05,4.0905e-05,4.0905e-05
52,48.6905,1.36134,4.56622,0.92302,0.0328,0.25,0.1399,0.08737,1.03593,4.45017,0.87837,4.01031e-05,4.01031e-05,4.01031e-05
53,49.5915,1.30176,4.68168,0.97746,0.0328,0.25,0.1399,0.08737,1.03593,4.45017,0.87837,3.93012e-05,3.93012e-05,3.93012e-05
54,50.4944,1.16265,4.48917,0.94014,0.02952,0.25,0.14063,0.08836,1.01293,4.22209,0.86973,3.84993e-05,3.84993e-05,3.84993e-05
55,51.3815,1.3929,4.35346,0.97472,0.02952,0.25,0.14063,0.08836,1.01293,4.22209,0.86973,3.76974e-05,3.76974e-05,3.76974e-05
56,52.2857,1.36952,4.58804,0.95339,0.30775,0.23611,0.22987,0.17751,0.98422,3.99289,0.8593,3.68955e-05,3.68955e-05,3.68955e-05
57,53.2058,1.28541,4.34382,0.94595,0.30775,0.23611,0.22987,0.17751,0.98422,3.99289,0.8593,3.60936e-05,3.60936e-05,3.60936e-05
58,54.1191,1.30207,4.32667,0.94435,0.21458,0.45833,0.37096,0.3155,0.93844,3.79264,0.85465,3.52917e-05,3.52917e-05,3.52917e-05
59,55.0268,1.21002,4.07158,0.92293,0.21458,0.45833,0.37096,0.3155,0.93844,3.79264,0.85465,3.44898e-05,3.44898e-05,3.44898e-05
60,55.9583,1.51337,4.41493,0.95508,0.31284,0.55208,0.45313,0.37288,0.88657,3.57455,0.84671,3.36879e-05,3.36879e-05,3.36879e-05
61,56.8528,1.10699,4.15362,0.94655,0.31284,0.55208,0.45313,0.37288,0.88657,3.57455,0.84671,3.2886e-05,3.2886e-05,3.2886e-05
62,57.8196,1.07849,4.05102,0.95188,0.30755,0.6946,0.50171,0.4127,0.86142,3.35777,0.83993,3.20841e-05,3.20841e-05,3.20841e-05
63,58.7034,1.18199,3.94104,0.96953,0.30755,0.6946,0.50171,0.4127,0.86142,3.35777,0.83993,3.12822e-05,3.12822e-05,3.12822e-05
64,59.6271,1.18534,3.81886,0.9811,0.18816,0.7983,0.51586,0.42784,0.84915,3.15949,0.83408,3.04803e-05,3.04803e-05,3.04803e-05
65,60.529,1.4169,3.78892,0.96222,0.18816,0.7983,0.51586,0.42784,0.84915,3.15949,0.83408,2.96784e-05,2.96784e-05,2.96784e-05
66,61.5238,1.04186,3.61446,0.86297,0.12284,0.83665,0.51754,0.42395,0.83854,2.97676,0.82989,2.88765e-05,2.88765e-05,2.88765e-05
67,62.4844,1.17376,3.80686,0.90837,0.12284,0.83665,0.51754,0.42395,0.83854,2.97676,0.82989,2.80746e-05,2.80746e-05,2.80746e-05
68,63.4374,1.37495,3.90139,1.03839,0.11275,0.875,0.5217,0.43271,0.82884,2.79982,0.82436,2.72727e-05,2.72727e-05,2.72727e-05
69,64.3158,1.1921,3.64454,0.90928,0.11275,0.875,0.5217,0.43271,0.82884,2.79982,0.82436,2.64708e-05,2.64708e-05,2.64708e-05
70,65.2617,0.95394,3.50191,0.88805,0.67294,0.35833,0.51389,0.42689,0.81934,2.66432,0.82183,2.56689e-05,2.56689e-05,2.56689e-05
71,66.2397,1.08536,3.66888,0.97245,0.67294,0.35833,0.51389,0.42689,0.81934,2.66432,0.82183,2.4867e-05,2.4867e-05,2.4867e-05
72,67.2452,1.60939,3.72077,1.01119,0.70454,0.30556,0.51127,0.43046,0.82495,2.50529,0.81848,2.40651e-05,2.40651e-05,2.40651e-05
73,68.1595,1.17825,3.34673,0.91941,0.70454,0.30556,0.51127,0.43046,0.82495,2.50529,0.81848,2.32632e-05,2.32632e-05,2.32632e-05
74,69.1095,1.0762,3.39074,0.89589,0.74414,0.30296,0.51029,0.42969,0.82323,2.3803,0.81584,2.24613e-05,2.24613e-05,2.24613e-05
75,70.027,1.39388,3.96344,1.02753,0.74414,0.30296,0.51029,0.42969,0.82323,2.3803,0.81584,2.16594e-05,2.16594e-05,2.16594e-05
76,70.9826,0.93252,3.0312,0.90887,0.75983,0.29718,0.50995,0.42746,0.82032,2.25893,0.81404,2.08575e-05,2.08575e-05,2.08575e-05
77,71.8684,1.09677,3.40508,0.89485,0.75983,0.29718,0.50995,0.42746,0.82032,2.25893,0.81404,2.00556e-05,2.00556e-05,2.00556e-05
78,72.8091,1.0687,3.3951,0.87903,0.7359,0.31944,0.50327,0.41668,0.82033,2.1649,0.81201,1.92537e-05,1.92537e-05,1.92537e-05
79,73.8745,0.94971,2.89048,0.87243,0.7359,0.31944,0.50327,0.41668,0.82033,2.1649,0.81201,1.84518e-05,1.84518e-05,1.84518e-05
80,74.9035,1.05861,3.32098,0.95474,0.73692,0.30939,0.50729,0.41918,0.82559,2.08458,0.81013,1.76499e-05,1.76499e-05,1.76499e-05
81,75.8708,0.97043,3.01769,0.90525,0.73692,0.30939,0.50729,0.41918,0.82559,2.08458,0.81013,1.6848e-05,1.6848e-05,1.6848e-05
82,76.8989,1.0775,3.36835,0.86344,0.72957,0.30162,0.51032,0.42629,0.80807,2.01231,0.80752,1.60461e-05,1.60461e-05,1.60461e-05
83,77.8907,1.00184,3.04589,0.87755,0.72957,0.30162,0.51032,0.42629,0.80807,2.01231,0.80752,1.52442e-05,1.52442e-05,1.52442e-05
84,78.9295,1.14159,2.94705,0.94733,0.7287,0.30273,0.5112,0.42513,0.80702,1.9465,0.80806,1.44423e-05,1.44423e-05,1.44423e-05
85,79.8902,1.20424,3.01779,0.90074,0.7287,0.30273,0.5112,0.42513,0.80702,1.9465,0.80806,1.36404e-05,1.36404e-05,1.36404e-05
86,80.9464,1.06879,3.13156,0.87476,0.72048,0.30556,0.50978,0.42391,0.79111,1.90658,0.80733,1.28385e-05,1.28385e-05,1.28385e-05
87,81.9519,0.94224,2.99983,0.89308,0.72048,0.30556,0.50978,0.42391,0.79111,1.90658,0.80733,1.20366e-05,1.20366e-05,1.20366e-05
88,83.0456,1.17754,3.07225,0.94334,0.64321,0.38243,0.51277,0.42525,0.78746,1.85273,0.80605,1.12347e-05,1.12347e-05,1.12347e-05
89,84.0834,1.06815,3.10967,0.89794,0.64321,0.38243,0.51277,0.42525,0.78746,1.85273,0.80605,1.04328e-05,1.04328e-05,1.04328e-05
90,85.1618,1.07111,3.08672,0.88418,0.65062,0.38548,0.5167,0.43183,0.77245,1.82168,0.80323,9.6309e-06,9.6309e-06,9.6309e-06
91,93.5106,1.07834,4.17722,0.89408,0.65062,0.38548,0.5167,0.43183,0.77245,1.82168,0.80323,8.829e-06,8.829e-06,8.829e-06
92,94.5719,1.39875,3.82103,1.02469,0.66134,0.3796,0.51359,0.42696,0.78032,1.81152,0.80564,8.0271e-06,8.0271e-06,8.0271e-06
